Title,Year,Rated,Released,Runtime,Genre,Director,Writer,Actors,Plot,Language,Country,Awards,Poster,Ratings,Metascore,imdbRating,imdbVotes,imdbID,Type,DVD,BoxOffice,Production,Website,Response,IMDB_Rating,Rotten_Tomatoes_Rating,Metacritic_Rating
"Crazy, Stupid, Love.",2011,PG-13,29 Jul 2011,118 min,"Comedy, Drama, Romance","Glenn Ficarra, John Requa",Dan Fogelman,"Steve Carell, Ryan Gosling, Julianne Moore","A middle-aged husband's life changes dramatically when his wife asks him for a divorce. He seeks to rediscover his manhood with the help of a newfound friend, Jacob, learning to pick up girls at bars.",English,United States,5 wins & 23 nominations,https://m.media-amazon.com/images/M/MV5BMTg2MjkwMTM0NF5BMl5BanBnXkFtZTcwMzc4NDg2NQ@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.4/10'}, {'Source': 'Rotten Tomatoes', 'Value': '79%'}, {'Source': 'Metacritic', 'Value': '68/100'}]",68,7.4,"573,103",tt1570728,movie,13 Apr 2016,"$84,379,584","Carousel, DiNovi Pictures",N/A,True,7.4/10,79%,68/100
Love Actually,2003,R,14 Nov 2003,135 min,"Comedy, Drama, Romance",Richard Curtis,Richard Curtis,"Hugh Grant, Martine McCutcheon, Liam Neeson","Follows the lives of eight very different couples in dealing with their love lives in various loosely interrelated tales all set during a frantic month before Christmas in London, England.","English, Portuguese, French","United Kingdom, France, United States",Won 1 BAFTA Award11 wins & 29 nominations total,https://m.media-amazon.com/images/M/MV5BYWRlZjcwYTgtYWJkOS00MGYwLTk3Y2ItNmU4NTg5Nzg2YTQ2XkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.6/10'}, {'Source': 'Rotten Tomatoes', 'Value': '64%'}, {'Source': 'Metacritic', 'Value': '55/100'}]",55,7.6,"535,411",tt0314331,movie,N/A,"$60,221,410",N/A,N/A,True,7.6/10,64%,55/100
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,1964,PG,29 Jan 1964,95 min,"Comedy, War",Stanley Kubrick,"Stanley Kubrick, Terry Southern, Peter George","Peter Sellers, George C. Scott, Sterling Hayden","An unhinged American general orders a bombing attack on the Soviet Union, triggering a path to nuclear holocaust that a war room full of politicians and generals frantically tries to stop.","English, Russian","United Kingdom, United States",Nominated for 4 Oscars. 14 wins & 11 nominations total,https://m.media-amazon.com/images/M/MV5BZWI3ZTMxNjctMjdlNS00NmUwLWFiM2YtZDUyY2I3N2MxYTE0XkEyXkFqcGdeQXVyNzkwMjQ5NzM@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '8.3/10'}, {'Source': 'Rotten Tomatoes', 'Value': '98%'}, {'Source': 'Metacritic', 'Value': '97/100'}]",97,8.3,"522,627",tt0057012,movie,N/A,"$9,440,272",N/A,N/A,True,8.3/10,98%,97/100
Thor: Love and Thunder,2022,PG-13,08 Jul 2022,118 min,"Action, Adventure, Comedy",Taika Waititi,"Taika Waititi, Jennifer Kaytin Robinson, Stan Lee","Chris Hemsworth, Natalie Portman, Christian Bale","Thor enlists the help of Valkyrie, Korg and ex-girlfriend Jane Foster to fight Gorr the God Butcher, who intends to make the gods extinct.",English,"Australia, United States",3 wins & 22 nominations,https://m.media-amazon.com/images/M/MV5BYmMxZWRiMTgtZjM0Ny00NDQxLWIxYWQtZDdlNDNkOTEzYTdlXkEyXkFqcGdeQXVyMTkxNjUyNQ@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.2/10'}, {'Source': 'Rotten Tomatoes', 'Value': '63%'}, {'Source': 'Metacritic', 'Value': '57/100'}]",57,6.2,"411,455",tt10648342,movie,N/A,"$343,256,830",N/A,N/A,True,6.2/10,63%,57/100
Shakespeare in Love,1998,R,08 Jan 1999,123 min,"Comedy, Drama, History",John Madden,"Marc Norman, Tom Stoppard","Gwyneth Paltrow, Joseph Fiennes, Geoffrey Rush","The world's greatest ever playwright, William Shakespeare, is young, out of ideas and short of cash, but meets his ideal woman and is inspired to write one of his most famous plays.",English,"United States, United Kingdom",Won 7 Oscars. 65 wins & 87 nominations total,https://m.media-amazon.com/images/M/MV5BM2ZkNjM5MjEtNTBlMC00OTI5LTgyYmEtZDljMzNmNzhiNzY0XkEyXkFqcGdeQXVyNDYyMDk5MTU@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.1/10'}, {'Source': 'Rotten Tomatoes', 'Value': '92%'}, {'Source': 'Metacritic', 'Value': '87/100'}]",87,7.1,"235,318",tt0138097,movie,N/A,"$100,317,794",N/A,N/A,True,7.1/10,92%,87/100
Love & Other Drugs,2010,R,24 Nov 2010,112 min,"Comedy, Drama, Romance",Edward Zwick,"Charles Randolph, Edward Zwick, Marshall Herskovitz","Jake Gyllenhaal, Anne Hathaway, Judy Greer","In 1990s Pittsburgh, a medicine peddler starts a relationship with a young woman suffering from Parkinson's disease.",English,United States,1 win & 5 nominations,https://m.media-amazon.com/images/M/MV5BMTgxOTczODEyMF5BMl5BanBnXkFtZTcwMDc0NDY4Mw@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.7/10'}, {'Source': 'Rotten Tomatoes', 'Value': '49%'}, {'Source': 'Metacritic', 'Value': '55/100'}]",55,6.7,"227,916",tt0758752,movie,N/A,"$32,367,005",N/A,N/A,True,6.7/10,49%,55/100
P.S. I Love You,2007,PG-13,21 Dec 2007,126 min,"Comedy, Drama, Romance",Richard LaGravenese,"Richard LaGravenese, Steven Rogers, Cecelia Ahern","Hilary Swank, Gerard Butler, Harry Connick Jr.",A young widow discovers that her late husband has left her 10 messages intended to help ease her pain and start a new life.,English,United States,2 wins & 4 nominations,https://m.media-amazon.com/images/M/MV5BNTg2MDg4MjI5NV5BMl5BanBnXkFtZTcwMzQ0MDczMw@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.0/10'}, {'Source': 'Metacritic', 'Value': '39/100'}]",39,7.0,"218,905",tt0431308,movie,05 Feb 2008,"$53,706,790",N/A,N/A,True,7.0/10,,39/100
"I Love You, Man",2009,R,20 Mar 2009,105 min,"Comedy, Romance",John Hamburg,"John Hamburg, Larry Levin","Paul Rudd, Jason Segel, Rashida Jones","Friendless Peter Klaven goes on a series of man-dates to find a Best Man for his wedding. But, when his insta-bond with his new B.F.F. puts a strain on his relationship with his fiancée, can the trio learn to live happily ever after?",English,United States,1 win & 8 nominations,https://m.media-amazon.com/images/M/MV5BMTU4MjI5NTEyNV5BMl5BanBnXkFtZTcwNjQ1NTMzMg@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.0/10'}, {'Source': 'Rotten Tomatoes', 'Value': '83%'}, {'Source': 'Metacritic', 'Value': '70/100'}]",70,7.0,"217,870",tt1155056,movie,N/A,"$71,440,011",N/A,N/A,True,7.0/10,83%,70/100
Punch-Drunk Love,2002,R,01 Nov 2002,95 min,"Comedy, Drama, Romance",Paul Thomas Anderson,Paul Thomas Anderson,"Adam Sandler, Emily Watson, Philip Seymour Hoffman",Socially frustrated Barry Egan calls a phone-sex line to curb his loneliness. Little does he know it will land him in deep trouble and will jeopardize his burgeoning romance with the mysterious Lena.,English,United States,14 wins & 37 nominations,https://m.media-amazon.com/images/M/MV5BYmE1OTY4NjgtYjcwNC00NWE4LWJiNGMtZmVhYTdlMWE1YzIxXkEyXkFqcGdeQXVyMTMxODk2OTU@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.3/10'}, {'Source': 'Rotten Tomatoes', 'Value': '79%'}, {'Source': 'Metacritic', 'Value': '78/100'}]",78,7.3,"180,335",tt0272338,movie,N/A,"$17,844,216",N/A,N/A,True,7.3/10,79%,78/100
In the Mood for Love,2000,PG,09 Mar 2001,98 min,"Drama, Romance",Kar-Wai Wong,Kar-Wai Wong,"Tony Leung Chiu-wai, Maggie Cheung, Siu Ping-Lam","Two neighbors form a strong bond after both suspect extramarital activities of their spouses. However, they agree to keep their bond platonic so as not to commit similar wrongs.","Cantonese, Shanghainese, French, Spanish","Hong Kong, France",Nominated for 1 BAFTA Award44 wins & 50 nominations total,https://m.media-amazon.com/images/M/MV5BYWVjNjMwZTgtMGYyYy00NmVhLWE1NDItMzFhMmJkYTNjYWIwXkEyXkFqcGdeQXVyNjU0OTQ0OTY@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '8.1/10'}, {'Source': 'Rotten Tomatoes', 'Value': '92%'}, {'Source': 'Metacritic', 'Value': '87/100'}]",87,8.1,"169,609",tt0118694,movie,N/A,"$2,738,980",N/A,N/A,True,8.1/10,92%,87/100
